Validation: Loss: 0.738205	R: 0.478123
Validation: Loss: 0.773166	R: 0.481294
Validation: Loss: 0.768844	R: 0.477293
Validation: Loss: 0.732995	R: 0.498650
Validation: Loss: 0.747071	R: 0.501263
Validation: Loss: 0.758136	R: 0.497698
Validation: Loss: 0.747205	R: 0.485933
Validation: Loss: 0.727931	R: 0.507257
Validation: Loss: 0.727710	R: 0.495151
Validation: Loss: 0.756613	R: 0.484106
Validation: Loss: 0.780951	R: 0.467418
Validation: Loss: 0.734289	R: 0.496564
Validation: Loss: 0.753091	R: 0.498708
Validation: Loss: 0.722293	R: 0.505261
Validation: Loss: 0.775074	R: 0.494410
Validation: Loss: 0.714813	R: 0.511458
Validation: Loss: 0.728500	R: 0.502730
Validation: Loss: 0.782151	R: 0.494351
Validation: Loss: 0.767440	R: 0.499766
Validation: Loss: 0.740499	R: 0.497592
Validation: Loss: 0.801253	R: 0.496026
Validation: Loss: 0.858466	R: 0.474708
Validation: Loss: 0.813690	R: 0.492606
Validation: Loss: 0.841664	R: 0.492361
Validation: Loss: 0.820848	R: 0.500232
Validation: Loss: 0.804831	R: 0.478996
Validation: Loss: 0.841039	R: 0.491120
Validation: Loss: 0.886177	R: 0.498197
Validation: Loss: 0.817146	R: 0.502645
Validation: Loss: 0.757257	R: 0.487086
Validation: Loss: 0.739102	R: 0.499782
Validation: Loss: 0.808496	R: 0.500706
Validation: Loss: 0.814793	R: 0.504154
Validation: Loss: 0.794734	R: 0.493051
Validation: Loss: 0.769842	R: 0.503423
Validation: Loss: 0.758949	R: 0.503390
Validation: Loss: 0.838600	R: 0.492225
Validation: Loss: 0.820216	R: 0.486954
Validation: Loss: 0.822247	R: 0.506073
Validation: Loss: 0.791256	R: 0.491963
Validation: Loss: 0.848180	R: 0.483596
Validation: Loss: 0.891965	R: 0.502135
Validation: Loss: 0.831966	R: 0.486554
Validation: Loss: 0.864119	R: 0.491342
Validation: Loss: 0.760952	R: 0.500577
Validation: Loss: 0.878444	R: 0.499646
Validation: Loss: 0.787630	R: 0.502684
Validation: Loss: 0.839857	R: 0.504284
Validation: Loss: 0.870869	R: 0.480389
Validation: Loss: 0.834441	R: 0.490421
Validation: Loss: 0.825145	R: 0.495199
Validation: Loss: 0.829594	R: 0.508971
Validation: Loss: 0.825525	R: 0.507711
Validation: Loss: 0.866450	R: 0.501148
Validation: Loss: 0.906610	R: 0.495796
Validation: Loss: 0.755169	R: 0.519761
Validation: Loss: 0.731400	R: 0.509233
Validation: Loss: 0.820981	R: 0.500298
Validation: Loss: 0.797733	R: 0.502454
Validation: Loss: 0.789153	R: 0.498897
Validation: Loss: 0.741252	R: 0.510850
Validation: Loss: 0.801132	R: 0.494980
Validation: Loss: 0.756084	R: 0.508304
Validation: Loss: 0.825773	R: 0.499192
Validation: Loss: 0.745260	R: 0.507975
Validation: Loss: 0.768791	R: 0.508976
Validation: Loss: 0.784043	R: 0.502415
Validation: Loss: 0.794985	R: 0.501458
Validation: Loss: 0.734210	R: 0.504992
Validation: Loss: 0.770622	R: 0.510188
Validation: Loss: 0.787221	R: 0.493892
Validation: Loss: 0.778631	R: 0.484233
Validation: Loss: 0.759911	R: 0.500878
Validation: Loss: 0.831578	R: 0.472594
Validation: Loss: 0.858248	R: 0.473361
Validation: Loss: 0.866080	R: 0.490154
Validation: Loss: 0.821333	R: 0.495201
Validation: Loss: 0.764682	R: 0.503148
Validation: Loss: 0.810116	R: 0.502744
Validation: Loss: 0.856995	R: 0.495337
Validation: Loss: 0.774297	R: 0.507544
Validation: Loss: 0.776290	R: 0.503552
Validation: Loss: 0.796504	R: 0.506876
Validation: Loss: 0.869274	R: 0.487632
Validation: Loss: 0.815872	R: 0.492512
Validation: Loss: 0.784547	R: 0.488294
Validation: Loss: 0.815777	R: 0.487955
Validation: Loss: 0.802548	R: 0.491332
Validation: Loss: 0.770254	R: 0.495034
Validation: Loss: 0.812134	R: 0.497973
Validation: Loss: 0.747758	R: 0.503712
Validation: Loss: 0.785612	R: 0.506422
Validation: Loss: 0.768366	R: 0.512171
Validation: Loss: 0.795945	R: 0.492166
Validation: Loss: 0.775648	R: 0.505045
Validation: Loss: 0.768364	R: 0.493140
Validation: Loss: 0.826803	R: 0.490864
Validation: Loss: 0.807857	R: 0.491776
Validation: Loss: 0.751683	R: 0.502020
Validation: Loss: 0.777452	R: 0.494060
Validation: Loss: 0.811593	R: 0.489618
Validation: Loss: 0.787135	R: 0.496085
Validation: Loss: 0.761711	R: 0.488148
Validation: Loss: 0.776950	R: 0.499994
Validation: Loss: 0.812112	R: 0.496873
Validation: Loss: 0.804574	R: 0.494230
Validation: Loss: 0.802034	R: 0.490621
Validation: Loss: 0.754779	R: 0.495186
Validation: Loss: 0.757224	R: 0.485100
Validation: Loss: 0.770968	R: 0.494119
Validation: Loss: 0.751786	R: 0.491736
Validation: Loss: 0.803399	R: 0.478996
Validation: Loss: 0.741068	R: 0.509916
Validation: Loss: 0.777550	R: 0.488393
Validation: Loss: 0.775451	R: 0.488255
Validation: Loss: 0.787166	R: 0.509692
Validation: Loss: 0.790375	R: 0.490963
Validation: Loss: 0.820366	R: 0.489741
Validation: Loss: 0.769063	R: 0.487491
Validation: Loss: 0.794766	R: 0.489026
Validation: Loss: 0.814683	R: 0.493371
Validation: Loss: 0.802161	R: 0.504023
Validation: Loss: 0.775163	R: 0.487562
Validation: Loss: 0.776199	R: 0.490430
Validation: Loss: 0.838619	R: 0.485058
Validation: Loss: 0.831920	R: 0.497529
Validation: Loss: 0.773666	R: 0.519595
Validation: Loss: 0.779420	R: 0.506277
Validation: Loss: 0.840421	R: 0.493855
Validation: Loss: 0.797857	R: 0.498408
Validation: Loss: 0.794285	R: 0.497717
Validation: Loss: 0.750618	R: 0.510010
Validation: Loss: 0.796372	R: 0.482661
Validation: Loss: 0.780164	R: 0.504809
Validation: Loss: 0.876649	R: 0.492304
Validation: Loss: 0.857514	R: 0.479786
Validation: Loss: 0.788296	R: 0.496419
Validation: Loss: 0.787079	R: 0.511975
Validation: Loss: 0.779424	R: 0.493871
Validation: Loss: 0.765803	R: 0.504590
Validation: Loss: 0.777946	R: 0.503593
Validation: Loss: 0.792122	R: 0.499833
Validation: Loss: 0.831431	R: 0.497385
Validation: Loss: 0.889736	R: 0.479317
Validation: Loss: 0.795782	R: 0.491998
Validation: Loss: 0.777996	R: 0.495905
Validation: Loss: 0.782084	R: 0.497437
Validation: Loss: 0.776808	R: 0.490803
Validation: Loss: 0.810737	R: 0.484171
Validation: Loss: 0.820140	R: 0.481295
Validation: Loss: 0.772183	R: 0.504692
Validation: Loss: 0.784546	R: 0.495859
Validation: Loss: 0.806110	R: 0.497787
Validation: Loss: 0.800357	R: 0.486963
Validation: Loss: 0.846287	R: 0.479239
Validation: Loss: 0.934387	R: 0.367362
Validation: Loss: 0.889979	R: 0.370049
Validation: Loss: 0.904027	R: 0.369517
Validation: Loss: 0.876887	R: 0.371601
Validation: Loss: 0.859712	R: 0.370580
Validation: Loss: 0.844192	R: 0.369585
Validation: Loss: 0.856534	R: 0.368169
Validation: Loss: 0.838678	R: 0.370778
Validation: Loss: 0.838618	R: 0.372976
Validation: Loss: 0.847199	R: 0.372083
Validation: Loss: 0.845870	R: 0.373591
Validation: Loss: 0.832611	R: 0.375236
Validation: Loss: 0.848379	R: 0.374031
Validation: Loss: 0.852497	R: 0.373884
Validation: Loss: 0.841334	R: 0.364024
Validation: Loss: 0.838137	R: 0.369626
Validation: Loss: 0.848165	R: 0.375438
Validation: Loss: 0.848865	R: 0.379297
Validation: Loss: 0.850166	R: 0.378771
Validation: Loss: 0.851681	R: 0.373789
Validation: Loss: 0.859846	R: 0.378180
Validation: Loss: 0.852182	R: 0.375766
Validation: Loss: 0.856995	R: 0.377116
Validation: Loss: 0.861655	R: 0.376214
Validation: Loss: 0.860146	R: 0.379068
Validation: Loss: 0.853267	R: 0.377724
Validation: Loss: 0.857948	R: 0.375366
Validation: Loss: 0.857902	R: 0.379711
Validation: Loss: 0.872672	R: 0.382711
Validation: Loss: 0.855511	R: 0.379604
Validation: Loss: 0.866468	R: 0.381148
Validation: Loss: 0.863026	R: 0.381327
Validation: Loss: 0.851006	R: 0.381117
Validation: Loss: 0.852400	R: 0.380294
Validation: Loss: 0.859586	R: 0.379305
Validation: Loss: 0.855301	R: 0.380177
Validation: Loss: 0.860621	R: 0.378030
Validation: Loss: 0.849448	R: 0.378139
Validation: Loss: 0.860498	R: 0.380898
Validation: Loss: 0.852563	R: 0.380136
Validation: Loss: 0.855974	R: 0.377960
Validation: Loss: 0.839631	R: 0.382249
Validation: Loss: 0.857971	R: 0.382635
Validation: Loss: 0.864037	R: 0.379951
Validation: Loss: 0.864593	R: 0.382213
Validation: Loss: 0.852658	R: 0.381835
Validation: Loss: 0.874921	R: 0.385260
Validation: Loss: 0.855828	R: 0.383277
Validation: Loss: 0.861753	R: 0.381698
Validation: Loss: 0.862080	R: 0.379052
Validation: Loss: 0.860588	R: 0.381079
Validation: Loss: 0.864875	R: 0.380362
Validation: Loss: 0.848997	R: 0.382863
Validation: Loss: 0.845421	R: 0.383077
Validation: Loss: 0.853755	R: 0.380048
Validation: Loss: 0.850196	R: 0.381433
Validation: Loss: 0.851757	R: 0.381437
Validation: Loss: 0.837494	R: 0.380376
Validation: Loss: 0.849933	R: 0.380436
Validation: Loss: 0.836653	R: 0.377948
Validation: Loss: 0.852701	R: 0.381069
Validation: Loss: 0.859864	R: 0.381220
Validation: Loss: 0.836536	R: 0.383745
Validation: Loss: 0.860433	R: 0.382686
Validation: Loss: 0.846901	R: 0.383030
Validation: Loss: 0.856453	R: 0.380397
Validation: Loss: 0.855725	R: 0.382711
Validation: Loss: 0.852379	R: 0.381445
Validation: Loss: 0.859288	R: 0.380643
Validation: Loss: 0.851378	R: 0.378416
Validation: Loss: 0.852982	R: 0.382458
Validation: Loss: 0.863109	R: 0.383384
